layer,head,patched_logit_difference,indirect_effect,normalized_restoration
17,13,2.9801081730769234,0.0023174579326923073,-0.012263883187599701
17,14,2.979612379807693,0.0018216646634615383,-0.014899989214434512
17,15,2.9776367187499995,-0.00015399639423076942,0.0042710345474722905
17,16,2.9815467247596157,0.0037560096153846155,0.0308165802189145
17,17,2.979364483173077,0.0015737680288461541,0.05304736615215063
17,18,2.9833571213942305,0.005566406250000001,-0.024622986136749795
17,19,2.978549429086539,0.0007587139423076919,0.03766296802337609
17,20,2.9810208834134615,0.0032301682692307686,-0.014722542363637781
17,21,2.9796724759615385,0.0018817608173076932,0.0278948836813751
17,22,2.980070612980769,0.0022798978365384612,0.022271188972710573
17,23,2.9815767728365383,0.0037860576923076923,-0.01356451557770206
18,0,2.9799917367788464,0.0022010216346153846,0.025397616149024877
18,1,2.9824444110576924,0.004653695913461539,0.0022540394975070783
18,2,2.9802734375,0.0024827223557692306,0.08875037576969604
18,3,2.9796837439903845,0.0018930288461538464,-0.008711709392338321
