ABBR,layer,head,patched_logit_difference,indirect_effect,normalized_restoration,c_to_b_patched_logit_difference,c_to_b_indirect_effect,c_to_b_normalized_restoration,indirect_effect_difference_a_minus_c,count,c_to_b_count
AAA,5,26,4.70234375,0.030078125,0.16035021187195103,4.6875,0.015234375,-0.009094632767248777,0.014843750000000001,5,5
AAA,5,27,4.6958984375,0.0236328125,0.08013412165586078,4.6822265625,0.0099609375,-0.0036853299069957825,0.013671875,5,5
AAA,5,28,4.683984375,0.01171875,-0.1260135888396758,4.6931640625,0.0208984375,-0.006369693603927895,-0.009179687499999999,5,5
AAA,5,29,4.6857421875,0.0134765625,0.0012596588683545184,4.6970703125,0.0248046875,-0.008750994453001022,-0.011328124999999998,5,5
AAA,5,30,4.7056640625,0.0333984375,0.06299736495388669,4.6822265625,0.0099609375,-0.0036437723118033297,0.023437500000000003,5,5
AAA,5,31,4.6974609375,0.0251953125,-0.09661449987536945,4.7,0.027734375,-0.007910821057411813,-0.002539062499999998,5,5
AAA,6,0,4.69453125,0.022265625,0.041913435174304736,4.670703125,-0.0015625,-0.0004155368100817399,0.023828125000000002,5,5
AAA,6,1,4.668359375,-0.00390625,-0.20300760931195713,4.6892578125,0.0169921875,-0.0049407837842996944,-0.0208984375,5,5
AAA,6,2,4.6837890625,0.0115234375,-0.024169453734671126,4.7048828125,0.0326171875,-0.009856803111059038,-0.021093749999999998,5,5
AAA,6,3,4.6765625,0.004296875,-0.014603236559758297,4.691015625,0.01875,-0.0059881600063359285,-0.014453124999999999,5,5
AAA,6,4,4.6689453125,-0.0033203125,-0.2434110014544797,4.66796875,-0.004296875,0.0009214631969605357,0.0009765625000000004,5,5
AAA,6,5,4.6890625,0.016796875,-0.10633457416066114,4.6890625,0.016796875,-0.005974726290566812,0.0,5,5
AAA,6,6,4.6625,-0.009765625,-0.21984626615061398,4.6818359375,0.0095703125,-0.003100211210088072,-0.0193359375,5,5
AAA,6,7,4.6837890625,0.0115234375,-0.13659210746167266,4.6908203125,0.0185546875,-0.007241293113440769,-0.007031249999999999,5,5
AAA,6,8,4.674609375,0.00234375,-0.03261831000961436,4.6818359375,0.0095703125,-0.004013193663576347,-0.0072265625,5,5
AAA,6,9,4.685546875,0.01328125,0.14374614809397418,4.6873046875,0.0150390625,-0.004590095113186072,-0.0017578125000000007,5,5
AAA,6,10,4.676953125,0.0046875,-0.006289515419950204,4.66796875,-0.004296875,0.0008205964532656708,0.008984375,5,5
AAA,6,11,4.662109375,-0.01015625,-0.1694428329210938,4.6958984375,0.0236328125,-0.00655720775486047,-0.0337890625,5,5
AAA,6,12,4.6990234375,0.0267578125,0.09778779387475041,4.6861328125,0.0138671875,-0.003970930610890503,0.012890625,5,5
