ABBR,layer,patched_logit_difference,indirect_effect,normalized_restoration,count
ADL,31,1.356640625,0.00703125,0.06538386424957938,5
AFB,0,2.08125,-0.04375,0.11026655666080316,5
AFB,1,2.14609375,0.02109375,0.2299265762750562,5
AFB,2,2.15546875,0.03046875,0.07161651540860432,5
AFB,3,2.121875,-0.003125,-0.09025918834352963,5
AFB,4,2.1109375,-0.0140625,0.0679553957357161,5
AFB,5,2.1109375,-0.0140625,-0.21402823829760736,5
AFB,6,2.109375,-0.015625,-0.09622607242744542,5
AFB,7,2.1140625,-0.0109375,-0.11510930535448352,5
AFB,8,2.11953125,-0.00546875,-0.17655380687744207,5
AFB,9,2.13125,0.00625,0.05535951680443344,5
AFB,10,2.11015625,-0.01484375,-0.19362381108049626,5
AFB,11,2.13515625,0.01015625,0.17456000249069878,5
AFB,12,2.13125,0.00625,0.09593964206582709,5
AFB,13,2.1203125,-0.0046875,0.04765786100862922,5
AFB,14,2.11875,-0.00625,-0.12743037718519903,5
AFB,15,2.11640625,-0.00859375,-0.07024953688569249,5
AFB,16,2.12890625,0.00390625,-0.11874510292293883,5
AFB,17,2.13046875,0.00546875,-0.05967112397972155,5
AFB,18,2.125,0.0,-0.04366610107048159,5
AFB,19,2.1234375,-0.0015625,-0.19423382472745007,5
AFB,20,2.11796875,-0.00703125,-0.14061841975539263,5
AFB,21,2.1265625,0.0015625,-0.009846562576212785,5
AFB,22,2.12578125,0.00078125,-0.15906204434481647,5
AFB,23,2.11953125,-0.00546875,0.0028379437205851067,5
AFB,24,2.12109375,-0.00390625,-0.21252240331678057,5
AFB,25,2.12734375,0.00234375,-0.04254258835494533,5
AFB,26,2.13125,0.00625,-0.0776828198861543,5
AFB,27,2.1328125,0.0078125,-0.017752040556878738,5
AFB,28,2.13046875,0.00546875,0.01079780195831193,5
AFB,29,2.12734375,0.00234375,0.0007158683458127729,5
AFB,30,2.1296875,0.0046875,-0.11663983976504408,5
AFB,31,2.1328125,0.0078125,-0.00380537264486267,5
AFP,0,2.042578125,-0.073828125,0.8016947336813887,5
AFP,1,2.069921875,-0.046484375,0.18689184961465424,5
AFP,2,2.076953125,-0.039453125,0.46095707896264704,5
AFP,3,2.059375,-0.05703125,0.03081997527202369,5
AFP,4,2.088671875,-0.027734375,-0.09575312088843682,5
AFP,5,2.123046875,0.006640625,-0.9221594357019125,5
AFP,6,2.066015625,-0.050390625,0.3370255562870737,5
AFP,7,2.11328125,-0.003125,0.32970099790953994,5
AFP,8,2.0640625,-0.05234375,-0.04263248344811166,5
AFP,9,2.041015625,-0.075390625,-0.34263491298906734,5
AFP,10,2.158984375,0.042578125,-0.3917849787651014,5
AFP,11,2.141796875,0.025390625,-0.010115822258479427,5
AFP,12,2.10234375,-0.0140625,-0.10682295636179359,5
AFP,13,2.102734375,-0.013671875,-0.12391073972014648,5
AFP,14,2.11015625,-0.00625,0.0006226219582053716,5
AFP,15,2.11875,0.00234375,0.20995052070580114,5
AFP,16,2.123046875,0.006640625,0.07301628411140963,5
AFP,17,2.1296875,0.01328125,0.14227459018263755,5
AFP,18,2.1125,-0.00390625,-0.044405699344729446,5
AFP,19,2.128125,0.01171875,0.10987761016301782,5
AFP,20,2.125390625,0.008984375,-0.13400389075179878,5
AFP,21,2.135546875,0.019140625,-0.08058216828708632,5
AFP,22,2.130078125,0.013671875,-0.04829401636568713,5
AFP,23,2.119921875,0.003515625,0.0463828485525689,5
AFP,24,2.11953125,0.003125,0.10788069956654893,5
AFP,25,2.126953125,0.010546875,-0.01957471123100886,5
AFP,26,2.1109375,-0.00546875,-0.05932403504805282,5
AFP,27,2.123046875,0.006640625,0.09971996052345697,5
AFP,28,2.112109375,-0.004296875,0.09871132958201737,5
AFP,29,2.106640625,-0.009765625,0.07956462566223974,5
AFP,30,2.112890625,-0.003515625,0.024984670513024644,5
AFP,31,2.1171875,0.00078125,0.05604598392727923,5
AGA,0,4.477734375,0.056640625,0.2280555310521822,5
AGA,1,4.436328125,0.015234375,0.04845367825295287,5
AGA,2,4.4015625,-0.01953125,-0.1645857488745835,5
AGA,3,4.461328125,0.040234375,0.06037638505650307,5
AGA,4,4.440625,0.01953125,0.019815137781041305,5
AGA,5,4.408203125,-0.012890625,0.12726898100636094,5
AGA,6,4.4234375,0.00234375,-0.13213301842663308,5
AGA,7,4.425,0.00390625,0.013436316169767376,5
