layer,head,patched_logit_difference,indirect_effect,normalized_restoration,c_to_b_patched_logit_difference,c_to_b_indirect_effect,c_to_b_normalized_restoration,indirect_effect_difference_a_minus_c
2,7,2.165114182692307,-0.0010486778846153849,-0.043672727952267065,2.164134615384615,-0.0020282451923076925,0.001226426906872569,0.0009795673076923078
2,8,2.1663281249999997,0.0001652644230769233,-0.02327862064147071,2.165563401442308,-0.0005994591346153838,0.0006767743599258711,0.0007647235576923088
2,9,2.1660486778846155,-0.00011418269230769222,-0.028737581246519043,2.1635336538461543,-0.002629206730769231,-0.00043485836048715926,0.0025150240384615385
2,10,2.1649819711538463,-0.0011808894230769234,-0.026066908029115227,2.165123197115385,-0.0010396634615384619,-0.001460785335181392,-0.00014122596153846157
2,11,2.165106670673077,-0.0010561899038461543,-0.032509071812716776,2.164376502403846,-0.001786358173076923,-0.000307592659677972,0.0007301682692307691
2,12,2.1642578125,-0.0019050480769230772,-0.04973286763049618,2.165025540865385,-0.0011373197115384615,0.0017168906572832732,-0.0007677283653846153
2,13,2.165009014423077,-0.001153846153846154,-0.037863637908418325,2.1652013221153847,-0.0009615384615384614,-0.00027363937317082914,-0.00019230769230769225
2,14,2.164815204326923,-0.0013476562500000001,-0.04425878970853909,2.164529747596154,-0.001633112980769231,-0.001444256391459273,0.00028545673076923073
2,15,2.1652088341346154,-0.0009540264423076922,-0.045838544488972954,2.1642863581730767,-0.001876502403846154,-0.0007065774664243618,0.0009224759615384617
2,16,2.1648407451923077,-0.0013221153846153851,-0.039596088169690555,2.1643870192307695,-0.0017758413461538465,0.002643107612724633,0.00045372596153846136
2,17,2.1647400841346154,-0.0014227764423076924,-0.03707271753361584,2.165051081730769,-0.001111778846153846,0.0010444952341980116,-0.00031099759615384626
2,18,2.1639197716346152,-0.0022430889423076922,-0.054289422489644974,2.164444110576923,-0.0017187499999999996,0.0018199788635646472,-0.0005243389423076925
2,19,2.1657767427884616,-0.0003861177884615382,-0.029749699508198807,2.162444411057692,-0.003718449519230769,-0.0004677118203197391,0.0033323317307692307
2,20,2.163973858173077,-0.002189002403846154,-0.03992499268782014,2.1668524639423077,0.0006896033653846156,-0.000769637538555562,-0.0028786057692307696
2,21,2.1655664062499995,-0.0005964543269230772,-0.026487971068022656,2.1654642427884614,-0.0006986177884615384,-0.0007200290268468319,0.00010216346153846147
