source_layer,source_head,downstream_layer_count,M_plus_AC,M_plus_CA,M_plus_residual,I_AC,I_CA,I_residual
17,7,15,0.013875749112677341,0.012814933144751989,0.013345341128714666,0.0031750362755019524,0.002898899848514702,0.0030369680620083274
17,8,15,0.01573634730104459,0.015314350463593958,0.015525348882319271,0.0074495231325727215,0.007967238138371613,0.007708380635472167
17,9,15,0.01655499370026822,0.014891326861567222,0.015723160280917716,0.007425061955564161,0.006996693303926804,0.007210877629745482
17,10,15,0.02077364261759309,0.019059263741845595,0.019916453179719344,0.014051093172747641,0.015377817074477208,0.014714455123612424
17,11,15,0.014446140808519895,0.013833958403020007,0.014140049605769953,0.00677263287743699,0.007202601024937394,0.006987616951187192
17,12,15,0.01893668899040354,0.01608830130162308,0.017512495146013312,0.008622118743733153,0.008170709641308348,0.00839641419252075
17,13,15,0.012780612794229191,0.011833181153471437,0.012306896973850314,0.0026309486063496477,0.0027210096803173657,0.0026759791433335067
17,14,15,0.0152571711038163,0.013189610170908661,0.014223390637362481,0.005186953580641784,0.005330071924913682,0.005258512752777732
17,15,15,0.01063973699864922,0.01009853551129202,0.010369136254970619,-0.0011107741286878082,-0.0006761349449789123,-0.0008934545368333602
17,16,15,0.02885744354494818,0.01889610817594075,0.02387677586044447,0.004004010334210761,0.004483969648936182,0.004243989991573471
17,17,15,0.0027148503535181587,0.00432817055668276,0.003514828600146795,-0.003180360688838846,-0.00370444701766246,-0.003442403853250653
17,18,15,0.010737878190980911,0.010291546681851284,0.0105147124364161,0.0014560258216761214,0.001542510076887993,0.0014992679492820571
17,19,15,0.006203373553368389,0.0061596966873851975,0.0061725814988161185,-0.0024632758279949487,-0.0024043119324687725,-0.0024337938802318606
17,20,15,0.011955886792700312,0.010200080192814388,0.011077983492757348,0.00015481169571103238,0.00043711355804134657,0.0002959626268761895
17,21,15,0.011655109307331294,0.01048499475070979,0.011069232227399325,8.199448565164858e-05,0.0004264512105237372,0.0002542228480876929
17,22,15,0.01663685132174635,0.013943863046401172,0.01529035718407376,0.01337239199274336,0.013547424423450138,0.01345990820809675
17,23,15,0.01126006859259102,0.010699768772241214,0.010977049296194726,0.00013899162618145056,0.00036859955253021326,0.0002537955893558319
17,24,15,0.012339294578901702,0.009963068865024833,0.011151181721963268,0.0014157799989789055,0.0014498235835901595,0.0014328017912845325
17,25,15,0.016862863209090622,0.015725174974751135,0.016294019091920877,0.009684524567182962,0.010548367168621554,0.010116445867902259
17,26,15,0.012343493508040522,0.010693012488078467,0.011518252998059494,0.0006796415156259172,0.0007318185535950761,0.0007057300346104967
17,27,15,0.023605332760143937,0.020790339024016852,0.02219783589208039,0.019354338500124867,0.019808718642161695,0.01958152857114328
17,28,15,0.013859293826747412,0.01302752017228954,0.013443406999518478,0.001975044855498709,0.0023756733138725395,0.002175359084685624
17,29,15,0.028597775644129794,0.02089782942917736,0.02474780253665358,0.013934208326827503,0.012370737134187949,0.013152472730507726
17,30,15,0.0,0.0012595714440052084,0.00026625745816772907,-0.021053674092399888,-0.014126180097082396,-0.017589927094741144
17,31,15,0.017724433268888853,0.014477907944759255,0.016101170606824054,0.00578363597724092,0.005264221636753064,0.005523928806996992
18,0,14,0.03614605872734598,0.0332594939415815,0.03470277633446374,0.028732364964344014,0.030440764745435445,0.02958656485488973
18,1,14,0.009099611366421812,0.00831343175255199,0.008706521559486905,-0.0031643931694304685,-0.0028995344283430312,-0.0030319637988867497
18,2,14,0.012376696489460161,0.01192146188725386,0.012149079188357012,0.00039800207669031805,0.0012619693635883777,0.0008299857201393479
18,3,14,0.028935188698103183,0.025220256309411788,0.027077722503757475,0.01817087199378875,0.019061283832979826,0.018616077913384287
18,4,14,0.01893078047943066,0.01639577901974312,0.01766327974958689,0.006897084363481553,0.007417166918457951,0.007157125640969752
18,5,14,0.017349189816267038,0.01597966649964064,0.016664428157953843,0.0036549446767367042,0.005160445184810669,0.004407694930773687
18,6,14,0.003244112113761081,0.00304448080830103,0.003126002278512325,-0.00966589632225805,-0.009231176657343099,-0.009448536489800576
18,7,14,0.017944761898433272,0.015815390253627423,0.01688007607603035,0.005987309178635769,0.007223027949976313,0.006605168564306041
18,8,14,0.013494522365853355,0.013210140527360638,0.013352331446606998,0.0009978755886095314,0.0018415905071378802,0.0014197330478737057
18,9,14,0.012307711897014021,0.011705190662462225,0.012006451279738121,0.0003558141500434431,0.001002939808019221,0.000679376979031332
18,10,14,0.017804293715541267,0.015971369171575135,0.0168878314435582,0.0033200117237356607,0.003925479417171118,0.0036227455704533895
18,11,14,0.012716317042579663,0.011743295805643632,0.012229806424111648,0.001842337343651934,0.0023788756024259784,0.002110606473038956
18,12,14,0.001786568937560722,0.0007218430311695556,0.0010843001840969788,-0.008977405935144133,-0.012458439996044035,-0.010717922965594085
18,13,14,0.020664359010621886,0.018127508001849237,0.01939593350623556,0.007386716367909685,0.009016147981674294,0.00820143217479199
